Zarautz;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-17 14:59:16;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Zarautz;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-17 14:59:16;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-16 22:23:48;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Deba;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-14 08:34:51;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Deba;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-14 08:34:51;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Mendaro;Blanco;43.25184;GIPUZKOA;Obras;Euskadi;2007-12-14 07:41:49;62;IRUN;Obras;SS;A-8;62;-2.39051;67
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-13 20:48:07;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
;Blanco;43.28577;GIPUZKOA;Obras;Euskadi;2007-12-13 20:17:53;57;IRUN;Obras;SS;A-8;57;-2.35533;34
Deba;Blanco;43.27006;GIPUZKOA;Obras;Euskadi;2007-12-13 13:06:17;49;DONOSTIA/SAN SEBASTIÁN;Obras;SS;N-634;49;-2.37164;70
Deba;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-13 09:55:26;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Eibar;Blanco;43.25184;GIPUZKOA;Obras;Euskadi;2007-12-13 07:53:28;62;IRUN;Obras;SS;A-8;62;-2.39051;67
Idiazabal;Blanco;42.95694;GIPUZKOA;Obras;Euskadi;2007-12-13 05:51:38;408;IRÚN;Obras;SS;N-1;408;-2.23743;47
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-12 21:11:41;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Zumaia;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-12 20:40:18;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Eibar;Blanco;43.25184;GIPUZKOA;Obras;Euskadi;2007-12-12 07:28:59;62;IRUN;Obras;SS;A-8;62;-2.39051;67
Donostia-San Sebastián;Blanco;43.31595;GIPUZKOA;Obras;Euskadi;2007-12-12 03:04:04;18;CANTABRIA;Obras;SS;A-8;18;-1.94908;18
Olaberria;Negro;43.02731;GIPUZKOA;Obras;Euskadi;2007-12-12 00:04:31;416;IRÚN;Obras;SS;N-1;416;-2.220601;74
Donostia-San Sebastián;Blanco;43.29639;GIPUZKOA;Obras;Euskadi;2007-12-11 20:59:10;23;CANTABRIA;Obras;SS;A-8;23;-1.99537;23
;Blanco;43.30491;GIPUZKOA;Obras;Euskadi;2007-12-11 20:25:57;13;CANTABRIA;Obras;SS;A-8;13;-1.89449;100
;Blanco;43.30491;GIPUZKOA;Obras;Euskadi;2007-12-11 20:25:57;13;CANTABRIA;Obras;SS;A-8;13;-1.89449;100
;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-11 19:14:53;43;IRUN;Obras;SS;A-8;43;-2.2153;24
;Blanco;43.28297;GIPUZKOA;Obras;Euskadi;2007-12-11 19:14:53;43;IRUN;Obras;SS;A-8;43;-2.2153;24
Getaria;Blanco;43.28137;GIPUZKOA;Obras;Euskadi;2007-12-11 09:44:06;42;CANTABRIA;Obras;SS;A-8;42;-2.20357;24
Mendaro;Amarillo;43.22748;GIPUZKOA;Obras;Euskadi;2007-12-11 08:33:05;65;IRUN;Obras;SS;A-8;65;-2.4029;37
Mendaro;Amarillo;43.22748;GIPUZKOA;Obras;Euskadi;2007-12-11 08:33:05;65;IRUN;Obras;SS;A-8;65;-2.4029;37
Eibar;Blanco;43.23597;GIPUZKOA;Obras;Euskadi;2007-12-11 06:59:38;64;CANTABRIA;Obras;SS;A-8;64;-2.40268;37
Donostia-San Sebastián;Blanco;43.29825;GIPUZKOA;Obras;Euskadi;2007-12-10 21:02:01;22;CANTABRIA;Obras;SS;A-8;22;-1.97683;40
Deba;Blanco;43.2847;GIPUZKOA;Obras;Euskadi;2007-12-10 20:11:06;55;CANTABRIA;Obras;SS;A-8;55;-2.33205;59
;Blanco;43.25184;GIPUZKOA;Obras;Euskadi;2007-12-10 11:39:15;62;IRUN;Obras;SS;A-8;62;-2.39051;67
;Blanco;43.28137;GIPUZKOA;Obras;Euskadi;2007-12-10 09:03:08;42;CANTABRIA;Obras;SS;A-8;42;-2.20357;24
Usurbil;Blanco;43.28797;GIPUZKOA;Obras;Euskadi;2007-07-26 16:26:30;27;CANTABRIA;Obras;SS;A-8;34;-2.03542;60
Irun;Blanco;43.3422;GIPUZKOA;Obras;Euskadi;2007-06-20 00:02:22;476;IRÚN;Obras;SS;N-1;476;-1.8191;41
Pasaia;Blanco;43.30895;GIPUZKOA;Obras;Euskadi;2007-01-02 19:36:10;1;Lezo;Obras;SS;N-1P;1;-1.91667;118
